Year,Model,N,Accuracy,Balanced_Accuracy,Macro_F1
2013,XGBoost,12,0.75,0.7777777777777777,0.7428571428571429
2013,HistGradientBoosting,12,0.8333333333333334,0.8333333333333334,0.810966810966811
2013,Soft Voting,12,0.6666666666666666,0.7222222222222222,0.6746031746031745
2013,TCN,12,0.75,0.7777777777777777,0.7428571428571429
2013,CNN-LSTM,12,0.75,0.8333333333333334,0.7777777777777777
2014,CatBoost,12,0.5833333333333334,0.5833333333333334,0.561111111111111
2014,XGBoost,12,0.5,0.4166666666666667,0.4318181818181818
2014,HistGradientBoosting,12,0.5833333333333334,0.5833333333333334,0.561111111111111
2014,Soft Voting,12,0.5833333333333334,0.5833333333333334,0.561111111111111
2014,TCN,12,0.4166666666666667,0.4444444444444444,0.41904761904761906
2014,CNN-LSTM,12,0.4166666666666667,0.4444444444444444,0.41904761904761906
2015,CatBoost,12,0.6666666666666666,0.8095238095238094,0.6444444444444444
2015,XGBoost,12,0.6666666666666666,0.8095238095238094,0.6444444444444444
2015,HistGradientBoosting,12,0.6666666666666666,0.48809523809523814,0.5064102564102564
2015,Soft Voting,12,0.5833333333333334,0.7261904761904762,0.580952380952381
2015,TCN,12,0.6666666666666666,0.7738095238095237,0.6412698412698412
2015,CNN-LSTM,12,0.6666666666666666,0.7738095238095237,0.6412698412698412
2016,CatBoost,12,0.4166666666666667,0.43333333333333335,0.40079365079365076
2016,XGBoost,12,0.4166666666666667,0.43333333333333335,0.40079365079365076
2016,HistGradientBoosting,12,0.5,0.5,0.49444444444444446
2016,Soft Voting,12,0.5,0.5,0.49444444444444446
2016,TCN,12,0.8333333333333334,0.7666666666666666,0.791919191919192
2016,CNN-LSTM,12,0.75,0.7000000000000001,0.7313131313131315
2017,CatBoost,12,0.6666666666666666,0.6333333333333333,0.6296296296296295
2017,XGBoost,12,0.6666666666666666,0.6333333333333333,0.6296296296296295
2017,HistGradientBoosting,12,0.3333333333333333,0.3666666666666667,0.3444444444444444
2017,Soft Voting,12,0.5833333333333334,0.5666666666666667,0.5674603174603173
2017,TCN,12,0.75,0.7000000000000001,0.6888888888888888
2017,CNN-LSTM,12,0.6666666666666666,0.5333333333333333,0.5333333333333333
2018,CatBoost,12,0.6666666666666666,0.6666666666666666,0.6534391534391534
2018,XGBoost,12,0.6666666666666666,0.6666666666666666,0.6555555555555556
2018,HistGradientBoosting,12,0.6666666666666666,0.6666666666666666,0.6555555555555556
2018,Soft Voting,12,0.6666666666666666,0.6666666666666666,0.6555555555555556
2018,TCN,12,0.8333333333333334,0.8333333333333334,0.8148148148148148
2018,CNN-LSTM,12,0.6666666666666666,0.6666666666666666,0.6666666666666666
2019,CatBoost,12,0.9166666666666666,0.9333333333333332,0.8962962962962964
2019,XGBoost,12,0.9166666666666666,0.9333333333333332,0.8962962962962964
2019,HistGradientBoosting,12,0.6666666666666666,0.7333333333333334,0.6722222222222222
2019,Soft Voting,12,0.9166666666666666,0.9333333333333332,0.8962962962962964
2019,TCN,12,0.6666666666666666,0.7333333333333334,0.6555555555555556
2019,CNN-LSTM,12,0.75,0.7999999999999999,0.7157287157287158
2020,CatBoost,12,0.75,0.75,0.7367724867724869
2020,XGBoost,12,0.4166666666666667,0.4166666666666667,0.40740740740740744
2020,HistGradientBoosting,12,0.75,0.75,0.7367724867724869
2020,Soft Voting,12,0.75,0.75,0.7367724867724869
2020,TCN,12,0.6666666666666666,0.6666666666666666,0.6534391534391534
2020,CNN-LSTM,12,0.6666666666666666,0.6666666666666666,0.6476190476190476
2021,CatBoost,12,0.6666666666666666,0.6888888888888888,0.6534391534391534
2021,XGBoost,12,0.6666666666666666,0.6888888888888888,0.6534391534391534
2021,HistGradientBoosting,12,0.5833333333333334,0.6055555555555555,0.6005291005291006
2021,Soft Voting,12,0.6666666666666666,0.6888888888888888,0.6534391534391534
2021,TCN,12,1.0,1.0,1.0
2021,CNN-LSTM,12,0.6666666666666666,0.6888888888888888,0.6555555555555556
2022,CatBoost,12,0.5833333333333334,0.6666666666666666,0.5886243386243386
2022,XGBoost,12,0.5833333333333334,0.6666666666666666,0.5886243386243386
2022,HistGradientBoosting,12,0.75,0.8333333333333334,0.7579365079365079
2022,Soft Voting,12,0.6666666666666666,0.7777777777777778,0.6666666666666666
2022,TCN,12,0.6666666666666666,0.7222222222222222,0.6722222222222222
2022,CNN-LSTM,12,0.75,0.7777777777777777,0.7590909090909091
